Time,Battery_Power_kW,SOC,Electricity_Price,PV_Power_kW,Wind_Power_kW,Load_kW,grid_purchase_cost,grid_sales_revenue,battery_loss_cost,battery_aging_cost,network_loss_cost,total_revenue,Battery_Remaining_Capacity_Percent,Battery_Cycles,Battery_Avg_DoD_Percent,Line_Losses_kW,Grid_Power_kW,Voltage_Bus_0_pu,Voltage_Bus_1_pu,Voltage_Bus_2_pu,Voltage_Bus_3_pu,Line_0_Loading_Percent,Line_1_Loading_Percent,Line_2_Loading_Percent,Line_3_Loading_Percent
2024-12-01,-1617961.0910234477,0.5,0.17,30.951063012239224,33.8609988801704,136.48712332772615,275065.57023443014,0.0,621715721.1379869,80000.0,0.0,-311156926.13922787,100.0,0.0,50.0,32361.951562935512,1618032.766084883,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-02,-3235680.615166587,0.0,0.22,87.22339752245801,21.5491594103405,152.62000057947765,711859.3817742513,0.0,2337333100.194594,0.0,0.0,-1169378409.4790711,100.0,0.0,50.0,64716.664703343326,3235724.462610233,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-03,-4853545.922903217,0.0,0.17,20.48074230436438,34.32245340911765,146.49583037071937,825118.3946414388,0.0,5259062341.049918,0.0,0.0,-2630356288.9196005,100.0,0.0,50.0,97073.84837467177,4853637.6155378735,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-04,-6471391.230573738,0.0,0.19,50.119180273027354,36.11840164209739,142.76243755751705,1229575.0735315823,0.0,9349442252.923891,0.0,0.0,-4675950701.535477,100.0,0.0,50.0,129430.67986022592,6471447.755429379,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-05,-8089236.538283759,0.0,0.17,56.32434506291747,60.19160826676315,130.3685219323882,1375172.5664449015,0.0,14608501730.700285,0.0,0.0,-7305626037.916588,100.0,0.0,50.0,161787.33813611383,8089250.39085236,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-06,-9707061.845937353,0.0,0.21,31.334988199670434,43.123366791060455,130.36784656941367,2038494.7286400753,0.0,21036154089.96895,0.0,0.0,-10520115539.713114,100.0,0.0,50.0,194143.84427567845,9707117.755428929,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-07,-11324927.153654141,0.0,0.18,63.745282323939406,57.472828767309245,127.62634114070958,2038488.0411391542,0.0,28632659383.452442,0.0,0.0,-14318368179.76736,100.0,0.0,50.0,226501.09559990562,11324933.561884189,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-08,-12942772.461354265,0.0,0.17,57.64981251634329,79.47150523936115,150.2529320816982,2200273.5508046607,0.0,37397757558.586235,0.0,0.0,-18701079052.84392,100.0,0.0,50.0,258858.4542857269,12942785.59296859,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-09,-14560597.768998249,0.0,0.22,62.40838700472228,66.2634312434536,142.83122032880985,3203334.624248072,0.0,47331405273.00179,0.0,0.0,-23668905971.125145,100.0,0.0,50.0,291214.81200437155,14560611.928400328,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-10,-16178443.076688113,0.0,0.22,64.92604938673162,37.55391277071644,145.82603217828927,3559267.0130067896,0.0,58433848132.267365,0.0,0.0,-29220483333.14669,100.0,0.0,50.0,323571.7780544058,16178486.42275813,1.0,1.0,1.0,1.0,0,0,0,0
